,alex,ford,arushi
1,P,S,S
2,E,P,P
3,E,P,E
4,E,P,E
5,E,P,E
6,P,P,S
7,E,P,P
8,P,P,P
9,S,P,S
10,E,E,P
11,P,P,P
12,E,E,E
13,E,P,P
14,P,P,P
15,P,P,P
16,E,S,S
17,P,P,P
18,E,P,P
19,P,P,E
20,E,P,P
21,P,P,P
22,P,P,P
23,P,P,P
24,E,P,P
25,P,P,P
26,P,P,P
27,P,P,P
28,E,E,P
29,P,P,P
30,P,P,E
31,E,E,P
32,P,P,P
33,E,E,E
34,P,P,P
35,P,S,P
36,P,P,P
37,P,N,N
38,E,P,P
39,P,E,P
40,E,E,P
41,E,P,P
42,P,S,P
43,N,N,N
44,P,S,P
45,P,S,P
46,P,S,P
47,P,P,P
48,P,P,P
49,P,P,P
50,P,S,P
51,P,P,P
52,P,P,P
53,P,P,P
54,P,P,P
55,P,P,P
56,P,P,P
57,E,P,P
58,P,P,P
59,E,S,P
60,P,P,P
61,P,P,P
62,P,P,S
63,P,P,P
64,P,P,P
65,P,P,P
66,E,S,P
67,E,S,P
68,E,S,P
69,E,S,P
70,P,P,P
71,E,E,E
72,P,P,P
73,E,S,P
74,E,S,S
75,E,S,P
76,E,E,P
77,E,E,P
78,E,S,S
79,P,P,N
80,E,S,E
81,E,S,E
82,P,S,P
83,P,P,P
84,E,P,P
85,P,P,P
86,P,P,P
87,P,P,P
88,P,P,P
89,E,P,P
90,E,P,P
91,E,P,P
92,P,P,P
93,E,S,P
94,P,P,P
95,E,P,E
96,E,P,P
97,E,E,P
98,P,P,P
99,S,S,S
100,S,S,P
